"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"20 Microns","Mining / Minerals / Metals","777.49","56.16","212.34","13.66","22.54","588.44","121.37","17.75","225.65"
"21st Cent. Mgmt.","Finance & Investments","34.92","32.23","18.18","16.96","478.75","59.78","4.17","88.07","70.44"
"360 ONE","Finance & Investments","2920.91","804.21","791.74","242.61","64.2","15114.36","9471.93","24.47","997.6"
"3B Blackbio","Healthcare","74.12","32.1","23.0","8.79","27.0","248.1","0.85","16.28","1184.5"
"3C IT Solutions","Computers - Software - Medium / Small","61.93","1.14","0","0","0","28.85","13.4","33.98","44.1"
"3i Infotech","Computers - Software - Medium / Small","813.88","-298.27","197.04","-99.08","3.45","663.99","84.48","-15.71","36.75"
"3M India","Diversified - Large","3926.76","536.27","1032.72","161.24","4.69","3398.54","17.93","24.84","37310.0"
"3P Land Hold.","Finance & Investments","3.56","1.81","0.89","0.36","89.36","104.35","0.0","2.2","38.0"
"52 Weeks Enter.","Entertainment / Electronic Media Software","0.28","0.17","0.0","-0.03","0","19.9","3.62","1.07","1.69"
"5Paisa Capital","Finance & Investments","394.57","54.44","112.86","5.78","24.58","2047.85","336.32","10.85","514.3"
"63 Moons Tech.","Computers - Software - Medium / Small","472.11","209.76","37.53","3.82","-66.37","3645.3","5.17","6.49","378.2"
"7NR Retail Ltd","Trading","11.62","-1.11","1.0","-0.23","-90.38","43.32","5.27","-3.79","5.23"
"7Seas Enter.","Computers - Software - Medium / Small","11.79","0.96","3.17","0.21","193.52","10.87","0.36","20.69","60.36"
"A B B","Electric Equipment","11115.67","1456.45","3080.36","459.29","27.75","11001.19","48.98","22.92","8531.0"
"A B Infrabuild","Construction","183.81","11.42","75.87","4.41","0","156.62","21.43","33.15","55.0"
"A B M Internatl.","Trading","93.64","-3.42","15.64","-0.21","-32.21","39.15","10.05","-20.7","61.99"
"A F Enterprises","Trading","8.5","-0.01","5.35","0.33","-73.72","134.68","6.64","0.0","10.91"
"A G Universal","Trading","78.37","1.92","38.29","1.2","0","48.15","15.47","28.32","64.4"
"A K Spintex","Textiles - Processing","117.24","8.45","30.54","2.1","-5.51","68.57","7.14","24.32","259.4"
"A R C Finance","Finance & Investments","9.24","0.27","7.82","0.07","72.25","71.5","16.08","0.53","1.18"
